zip,jurisdiction
99128,Congressional District 5
99129,Congressional District 5
99130,Congressional District 5
99131,Congressional District 5
99133,Congressional District 5
99136,Congressional District 5
99137,Congressional District 5
99138,Congressional District 5
99139,Congressional District 5
99140,Congressional District 5
99141,Congressional District 5
99143,Congressional District 5
99144,Congressional District 5
99146,Congressional District 5
99147,Congressional District 5
99148,Congressional District 5
99149,Congressional District 5
99150,Congressional District 5
99151,Congressional District 5
99152,Congressional District 5
99153,Congressional District 5
99154,Congressional District 5
99155,Congressional District 5
99156,Congressional District 5
99157,Congressional District 5
99158,Congressional District 5
99159,Congressional District 5
99160,Congressional District 5
99161,Congressional District 5
99163,Congressional District 5
99164,Congressional District 5
99166,Congressional District 5
99167,Congressional District 5
99169,Congressional District 5
99170,Congressional District 5
99171,Congressional District 5
99173,Congressional District 5
99174,Congressional District 5
99176,Congressional District 5
99180,Congressional District 5
99181,Congressional District 5
99185,Congressional District 5
99201,Congressional District 5
99202,Congressional District 5
99203,Congressional District 5
99204,Congressional District 5
99205,Congressional District 5
99206,Congressional District 5
99207,Congressional District 5
99208,Congressional District 5
99212,Congressional District 5
99216,Congressional District 5
99217,Congressional District 5
99218,Congressional District 5
99223,Congressional District 5
99224,Congressional District 5
99324,Congressional District 5
99328,Congressional District 5
99329,Congressional District 5
99333,Congressional District 5
99347,Congressional District 5
99348,Congressional District 5
99359,Congressional District 5
99360,Congressional District 5
99362,Congressional District 5
99401,Congressional District 5
99402,Congressional District 5
99403,Congressional District 5
98110,Congressional District 6
98305,Congressional District 6
98310,Congressional District 6
98311,Congressional District 6
98312,Congressional District 6
98314,Congressional District 6
98315,Congressional District 6
98320,Congressional District 6
98325,Congressional District 6
98326,Congressional District 6
98329,Congressional District 6
98331,Congressional District 6
98332,Congressional District 6
98333,Congressional District 6
98335,Congressional District 6
98337,Congressional District 6
98339,Congressional District 6
98340,Congressional District 6
98342,Congressional District 6
98345,Congressional District 6
98346,Congressional District 6
98349,Congressional District 6
98350,Congressional District 6
98351,Congressional District 6
98353,Congressional District 6
98357,Congressional District 6
98358,Congressional District 6
98359,Congressional District 6
98359,Congressional District 6
98362,Congressional District 6
98363,Congressional District 6
98364,Congressional District 6
98365,Congressional District 6
98366,Congressional District 6
98367,Congressional District 6
98368,Congressional District 6
98370,Congressional District 6
98376,Congressional District 6
98380,Congressional District 6
98381,Congressional District 6
98382,Congressional District 6
98383,Congressional District 6
98392,Congressional District 6
98394,Congressional District 6
98402,Congressional District 6
98403,Congressional District 6
98405,Congressional District 6
98406,Congressional District 6
98407,Congressional District 6
98408,Congressional District 6
98409,Congressional District 6
98416,Congressional District 6
98418,Congressional District 6
98421,Congressional District 6
98444,Congressional District 6
98465,Congressional District 6
98466,Congressional District 6
98467,Congressional District 6
98499,Congressional District 6
98520,Congressional District 6
98524,Congressional District 6
98526,Congressional District 6
98528,Congressional District 6
98535,Congressional District 6
98536,Congressional District 6
98537,Congressional District 6
98541,Congressional District 6
98546,Congressional District 6
98547,Congressional District 6
98548,Congressional District 6
98550,Congressional District 6
98552,Congressional District 6
98555,Congressional District 6
98557,Congressional District 6
98559,Congressional District 6
98560,Congressional District 6
98562,Congressional District 6
98563,Congressional District 6
98568,Congressional District 6
98569,Congressional District 6
98571,Congressional District 6
98575,Congressional District 6
98583,Congressional District 6
98584,Congressional District 6
98587,Congressional District 6
98588,Congressional District 6
98592,Congressional District 6
98595,Congressional District 6
98020,Congressional District 7
98026,Congressional District 7
98037,Congressional District 7
98043,Congressional District 7
98070,Congressional District 7
98101,Congressional District 7
98102,Congressional District 7
98103,Congressional District 7
98104,Congressional District 7
98105,Congressional District 7
98106,Congressional District 7
98107,Congressional District 7
98108,Congressional District 7
98109,Congressional District 7
98112,Congressional District 7
98115,Congressional District 7
98116,Congressional District 7
98117,Congressional District 7
98119,Congressional District 7
98121,Congressional District 7
98122,Congressional District 7
98125,Congressional District 7
98126,Congressional District 7
98133,Congressional District 7
98134,Congressional District 7
98136,Congressional District 7
98146,Congressional District 7
98148,Congressional District 7
98154,Congressional District 7
98155,Congressional District 7
98164,Congressional District 7
98166,Congressional District 7
98168,Congressional District 7
98174,Congressional District 7
98177,Congressional District 7
98195,Congressional District 7
98198,Congressional District 7
98199,Congressional District 7
98001,Congressional District 8
98002,Congressional District 8
98003,Congressional District 8
98010,Congressional District 8
98022,Congressional District 8
98024,Congressional District 8
98027,Congressional District 8
98029,Congressional District 8
98030,Congressional District 8
98031,Congressional District 8
98032,Congressional District 8
98038,Congressional District 8
98042,Congressional District 8
98045,Congressional District 8
98047,Congressional District 8
98050,Congressional District 8
98051,Congressional District 8
98058,Congressional District 8
98059,Congressional District 8
98065,Congressional District 8
98068,Congressional District 8
98074,Congressional District 8
98075,Congressional District 8
98092,Congressional District 8
98304,Congressional District 8
98321,Congressional District 8
98323,Congressional District 8
98328,Congressional District 8
98330,Congressional District 8
98338,Congressional District 8
98354,Congressional District 8
98360,Congressional District 8
98372,Congressional District 8
98374,Congressional District 8
98375,Congressional District 8
98385,Congressional District 8
98387,Congressional District 8
98390,Congressional District 8
98391,Congressional District 8
98396,Congressional District 8
98424,Congressional District 8
98558,Congressional District 8
98580,Congressional District 8
98801,Congressional District 8
98802,Congressional District 8
98811,Congressional District 8
98815,Congressional District 8
98816,Congressional District 8
98821,Congressional District 8
98822,Congressional District 8
98826,Congressional District 8
98828,Congressional District 8
98831,Congressional District 8
98836,Congressional District 8
98847,Congressional District 8
98852,Congressional District 8
98922,Congressional District 8
98925,Congressional District 8
98926,Congressional District 8
98934,Congressional District 8
98937,Congressional District 8
98940,Congressional District 8
98941,Congressional District 8
98943,Congressional District 8
98946,Congressional District 8
98950,Congressional District 8
98001,Congressional District 9
98003,Congressional District 9
98004,Congressional District 9
98005,Congressional District 9
98006,Congressional District 9
98007,Congressional District 9
98008,Congressional District 9
98023,Congressional District 9
98027,Congressional District 9
98030,Congressional District 9
98031,Congressional District 9
98032,Congressional District 9
98033,Congressional District 9
98039,Congressional District 9
98040,Congressional District 9
98042,Congressional District 9
98052,Congressional District 9
98055,Congressional District 9
98055,Congressional District 9
98057,Congressional District 9
98058,Congressional District 9
98059,Congressional District 9
98104,Congressional District 9
98108,Congressional District 9
98112,Congressional District 9
98118,Congressional District 9
98122,Congressional District 9
98134,Congressional District 9
98144,Congressional District 9
98148,Congressional District 9
98158,Congressional District 9
98168,Congressional District 9
98178,Congressional District 9
98188,Congressional District 9
98198,Congressional District 9
98402,Congressional District 9
98421,Congressional District 9
98422,Congressional District 9
98424,Congressional District 9
98047,Congressional District 10
98303,Congressional District 10
98327,Congressional District 10
98338,Congressional District 10
98354,Congressional District 10
98371,Congressional District 10
98372,Congressional District 10
98373,Congressional District 10
98374,Congressional District 10
98375,Congressional District 10
98387,Congressional District 10
98388,Congressional District 10
98390,Congressional District 10
98391,Congressional District 10
98404,Congressional District 10
98408,Congressional District 10
98418,Congressional District 10
98421,Congressional District 10
98424,Congressional District 10
98430,Congressional District 10
98433,Congressional District 10
98438,Congressional District 10
98439,Congressional District 10
98443,Congressional District 10
98444,Congressional District 10
98445,Congressional District 10
98446,Congressional District 10
98447,Congressional District 10
98466,Congressional District 10
98467,Congressional District 10
98498,Congressional District 10
98499,Congressional District 10
98501,Congressional District 10
98502,Congressional District 10
98503,Congressional District 10
98506,Congressional District 10
98512,Congressional District 10
98513,Congressional District 10
98516,Congressional District 10
98558,Congressional District 10
98576,Congressional District 10
98579,Congressional District 10
98580,Congressional District 10
98584,Congressional District 10
98589,Congressional District 10
98597,Congressional District 10
