zip,jurisdiction
98007,East Bellevue Community Municipal Corporation
98008,East Bellevue Community Municipal Corporation
98009,East Bellevue Community Municipal Corporation
98015,East Bellevue Community Municipal Corporation
98390,East Pierce Fire & Rescue
98391,East Pierce Fire & Rescue
98352,East Pierce Fire & Rescue
98385,East Pierce Fire & Rescue
98371,East Pierce Fire & Rescue
98372,East Pierce Fire & Rescue
98354,East Pierce Fire & Rescue
98396,East Pierce Fire & Rescue
99125,Endicott Park District No. 7
98822,Entiat School District No. 127
99301,Franklin Fire District No. 3
99302,Franklin Fire District No. 3
99343,Franklin Fire District No. 4
99347,Garfield Hospital District 1
99115,Grant County Hospital District No. 4
98832,Grant County Hospital District No. 4
98851,Grant County Hospital District No. 4
98860,Grant County Hospital District No. 4
98277,Island Public Hospital District
98278,Island Public Hospital District
98239,Island Public Hospital District
98260,Island Public Hospital District
98251,Snohomish Hospital District 1
98256,Snohomish Hospital District 1
98272,Snohomish Hospital District 1
98290,Snohomish Hospital District 1
98291,Snohomish Hospital District 1
98296,Snohomish Hospital District 1
98294,Snohomish Hospital District 1
98823,Grant County Fire District No. 13
98520,Grays Harbor Fire District No. 14
98536,Grays Harbor Fire District No. 16
98559,Grays Harbor Fire District No. 5
98541,Grays Harbor Fire District No. 5
98583,Grays Harbor Fire District No. 5
98535,Grays Harbor Fire District No. 7
98569,Grays Harbor Fire District No. 7
98562,Grays Harbor Fire District No. 8
98024,King County Fire Protection District No. 27
98022,King County Fire Protection District No. 28
98001,King County Fire Protection District No. 44
98002,King County Fire Protection District No. 44
98003,King County Fire Protection District No. 44
98023,King County Fire Protection District No. 44
98047,King County Fire Protection District No. 44
98063,King County Fire Protection District No. 44
98071,King County Fire Protection District No. 44
98092,King County Fire Protection District No. 44
98093,King County Fire Protection District No. 44
98030,King County Fire Protection District No. 44
98031,King County Fire Protection District No. 44
98032,King County Fire Protection District No. 44
98035,King County Fire Protection District No. 44
98042,King County Fire Protection District No. 44
98064,King County Fire Protection District No. 44
98089,King County Fire Protection District No. 44
98022,King County Fire Protection District No. 44
98010,King County Fire Protection District No. 44
98370,Kitsap County Fire District No. 18
98364,Kitsap County Fire District No. 18
98345,Kitsap County Fire District No. 18
98346,North Kitsap Fire and Rescue
98392,North Kitsap Fire and Rescue
98340,North Kitsap Fire and Rescue
98342,North Kitsap Fire and Rescue
98348,Pierce Fire Protection District No. 17
98558,Pierce Fire Protection District No. 17
98360,Pierce Fire Protection District No. 17
98580,Pierce Fire Protection District No. 17
98328,Pierce Fire Protection District No. 17
98390,Pierce Fire Protection District No. 22
98391,Pierce Fire Protection District No. 22
98352,Pierce Fire Protection District No. 22
98385,Pierce Fire Protection District No. 22
98371,Pierce Fire Protection District No. 22
98372,Pierce Fire Protection District No. 22
98354,Pierce Fire Protection District No. 22
98396,Pierce Fire Protection District No. 22
98371,Pierce Fire Protection District No. 6
98372,Pierce Fire Protection District No. 6
98373,Pierce Fire Protection District No. 6
98374,Pierce Fire Protection District No. 6
98375,Pierce Fire Protection District No. 6
98387,Pierce Fire Protection District No. 6
98444,Pierce Fire Protection District No. 6
98445,Pierce Fire Protection District No. 6
98446,Pierce Fire Protection District No. 6
98448,Pierce Fire Protection District No. 6
98365,Port Ludlow Fire District No. 3
98377,Randle Fire District No. 14
98273,Skagit Fire District No. 15
98273,Skagit Fire District No. 15
98230,Whatcom Fire Protection District No. 4
98231,Whatcom Fire Protection District No. 4
98225,Whatcom Fire Protection District No. 4
98226,Whatcom Fire Protection District No. 4
98227,Whatcom Fire Protection District No. 4
98228,Whatcom Fire Protection District No. 4
98229,Whatcom Fire Protection District No. 4
99017,Whitman Fire District No. 5
99143,Lacrosse Park District No. 1
99136,Lacrosse Park District No. 1
98937,Naches Park and Recreation District 
98230,Northwest Park and Recreation District No. 2
98231,Northwest Park and Recreation District No. 2
99158,Oakesdale Park District No. 4
99348,Prescott Parks and Recreation District
99170,Rosalia Park District No. 5
99149,Rosalia Park District No. 5
98045,Si View Metropolitan Park District
98065,Si View Metropolitan Park District
98068,Si View Metropolitan Park District
99171,St. John Park District No. 3
99033,Tekoa Park District No. 6
98605,Klickitat Port District No.  1
98672,Klickitat Port District No.  1
98281,Point Roberts Park and Recreation District No. 1
98239,Port of Coupeville
98253,Port of Coupeville
98524,Port of Grapeview
98546,Port of Grapeview
98342,Port of Indianola District No. 7
98588,Proposed North Mason Regional Fire Authority
98297,Lopez Solid Waste Disposal District
98222,Lopez Solid Waste Disposal District
98280,Lopez Solid Waste Disposal District
98245,Lopez Solid Waste Disposal District
98261,Lopez Solid Waste Disposal District
98250,Lopez Solid Waste Disposal District
98286,Lopez Solid Waste Disposal District
98243,Lopez Solid Waste Disposal District
98279,Lopez Solid Waste Disposal District
99344,Othello School District No. 147
98846,Pateros School 122-70J
98329,Peninsula School District No. 401
98332,Peninsula School District No. 401
98335,Peninsula School District No. 401
98584,Pioneer School District No. 402
99171,St. John School District No. 322
98282,Stanwood-Camano School District No. 401
98292,Stanwood-Camano School District No. 401
99349,Wahluke School District No. 73
98030,Tahoma School District No. 409
98031,Tahoma School District No. 409
98032,Tahoma School District No. 409
98035,Tahoma School District No. 409
98042,Tahoma School District No. 409
98064,Tahoma School District No. 409
98089,Tahoma School District No. 409
98010,Tahoma School District No. 409
98038,Tahoma School District No. 409
98631,Pacific Emergency Med. Service 1
98638,Pacific Emergency Med. Service 1
98362,Clallam Port District
98363,Clallam Port District
99130,Garfield Park District No. 2
98033,Houghton Community Municipal Corporation
98034,Houghton Community Municipal Corporation
98083,Houghton Community Municipal Corporation
99336,Kennewick Public Facilities District
99337,Kennewick Public Facilities District
99338,Kennewick Public Facilities District
98395,Key Peninsula Metropolitan Park District
98329,Key Peninsula Metropolitan Park District
98332,Key Peninsula Metropolitan Park District
98335,Key Peninsula Metropolitan Park District
98394,Key Peninsula Metropolitan Park District
98349,Key Peninsula Metropolitan Park District
98351,Key Peninsula Metropolitan Park District
98584,Mason Fire Protection Dist No. 13
98548,Mason Fire Protection District No. 18
98859,Okanogan Transportation District
98862,Okanogan Transportation District
99116,Okanogan Transportation District
98829,Okanogan Transportation District
98827,Okanogan Transportation District
98814,Okanogan Transportation District
98819,Okanogan Transportation District
99124,Okanogan Transportation District
99155,Okanogan Transportation District
98812,Okanogan Transportation District
98840,Okanogan Transportation District
98844,Okanogan Transportation District
98841,Okanogan Transportation District
98855,Okanogan Transportation District
98834,Okanogan Transportation District
98856,Okanogan Transportation District
98833,Okanogan Transportation District
98849,Okanogan Transportation District
98846,Okanogan Transportation District
99169,Adams Fire District No. 4
98645,Cowlitz Cemetery District No. 3
98649,Cowlitz Cemetery District No. 3
98611,Cowlitz Cemetery District No. 3
99039,Spokane County
99208,Spokane County
99202,Spokane County
99037,Spokane County
99036,Spokane County
99201,Spokane County
99204,Spokane County
99203,Spokane County
99207,Spokane County
99206,Spokane County
99205,Spokane County
99212,Spokane County
99213,Spokane County
99004,Spokane County
99005,Spokane County
99214,Spokane County
99009,Spokane County
99011,Spokane County
99006,Spokane County
99215,Spokane County
99003,Spokane County
99220,Spokane County
99219,Spokane County
99210,Spokane County
99211,Spokane County
99218,Spokane County
99251,Spokane County
99001,Spokane County
99217,Spokane County
99228,Spokane County
99030,Spokane County
99216,Spokane County
99026,Spokane County
99027,Spokane County
99031,Spokane County
99256,Spokane County
99252,Spokane County
99260,Spokane County
99258,Spokane County
99025,Spokane County
99016,Spokane County
99018,Spokane County
99012,Spokane County
99014,Spokane County
99019,Spokane County
99022,Spokane County
99023,Spokane County
99020,Spokane County
99021,Spokane County
99223,Spokane County
99224,Spokane County
99209,Spokane County
98030,Covington Transportation Benefit District
98031,Covington Transportation Benefit District
98032,Covington Transportation Benefit District
98035,Covington Transportation Benefit District
98042,Covington Transportation Benefit District
98064,Covington Transportation Benefit District
98089,Covington Transportation Benefit District
