name,jurisdiction,category,designator,description,additional_description1,additional_description2,url1,url2,url3,url4,lookup jurisdiction,long_id,notes,additional_description3,seo_title,seo_description,seo_keywords
Should we use tax increases for criminal justice purposes within the City of Brewster?,City of Brewster,Proposition,1,"Shall an increase in sales and use tax in the amount of 0.1% on the selling price in the case of sales tax, or on the value of the article used in the case of use tax be imposed within the City of Brewster with the revenue from such tax increase to be used by the City only for criminal justice purposes, to be effective as of April 1, 2014?",,,,,,,City of Brewster,ok_brewtax,,,,,"Proposition 1,"
"Should we approve the sale of the City of Buckley's gas utility to Puget Sound Energy, Inc.?",City of Buckley,Proposition,1,"<p>The Buckley City Council approved Ordinance No. 08-13 concerning the sale of the City's gas utility. This ordinance would accept a bid from Puget Sound Energy, Inc. for the purchase of the City's natural gas utility for $5,400,000.</p> <p>Do you support or oppose this measure?</p>",,,,,,,City of Buckley,pi_gassale,,,,,"Proposition 1,"
Should we increase the property tax to finance emergency medical services in the City of Clarkston?,City of Clarkston,Proposition,,"<p>The City Council of the City of Clarkston, Washington, adopted Resolution No. 2013-05 concerning a proposition to finance emergency medical services. This proposition, if approved, would permit maintenance and operation of Rescue One Emergency Medical Services through the levy of a special excess tax for collection in 2014 of $526,722.00 requiring approximately $1.31 per thousand dollars of assessed value (based on 100% of true and fair value).</p> <p>Do you support or oppose this measure?</p>",,,,,,,City of Clarkston,as_clrkems,,,,,"Proposition ,"
Should we authorize the Town of Colton to levy additional taxes to support the improvement of the town streets and the water/sewer systems?,City of Colton,Proposition,1,"Shall the Town of Colton be authorized to levy additional taxes by an excess levy in for collection in 2014 of approximately $1.20 per $1,000.00 of assessed value, to raise $30,000.00 for General Operations, Improvement of the Town Streets and the Water/Sewer Systems?",,,,,,,City of Colton,wt_wtrtax1,,,,,"Proposition 1,"
Should we authorize the Town of Endicott to impose a special tax levy for street work and maintenance in 2014?,City of Endicott,Proposition,1,"Shall the Town of Endicott be authorized to impose a special tax levy in 2013 for collection in 2014 of $20,000.00, an estimated $1.69 or less, per $1,000.00 of assessed valuation for street work and maintenance?  ",,,,,,,City of Endicott,wt_roadtx3,,,,,"Proposition 1,"
Should we authorize the Town of Endicott to impose a special tax levy for city park maintenance?,City of Endicott,Proposition,2,"Shall the Town of Endicott be authorized to impose a special tax levy in 2013 for collection in 2014 of $7,000.00, an estimated $ .59 or less, per $1,000.00 of assessed valuation for city park maintenance?",,,,,,,City of Endicott,wt_parktx2,,,,,"Proposition 2,"
Should we restrict the submission of all Citizen Initiative Petitions to the general elections?,City of Federal Way,Proposition,1,Shall the Federal Way Revised Code Section 1.30.160 (2) be amended to restrict the submission of all Citizen Initiative Petitions to the general elections because the voter participation is historically higher at general elections and to avoid the added expense of a special election?   Yes No ,,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47890&eid=1258,,,,City of Federal Way,FederalWay,,,,,"Proposition 1,"
Should we authorize the City of Issaquah to improve financing for parks and recreational facilities using bonds?,City of Issaquah,Proposition,1,"The City Council of the City of Issaquah, Washington, adopted Ordinance No. 2680 concerning financing for parks, recreational facilities and open space. If approved, this proposition would authorize the City to improve its parks and recreation system, such as renovating Julius Boehm Pool; improving Central Park, Tibbetts Valley Park, Meerwood Park and Gibson Park; and preserving open space to protect creeks, natural areas and wildlife habitat. It would authorize issuance of no more than $10,000,000 of general obligation bonds maturing within 20 years to be repaid by the annual levy of excess property taxes, all as provided in Ordinance No. 2680. Should this proposition be approved?   Yes No ",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47891&eid=1258,,,,City of Issaquah,Issaquah_1,,,,,"Proposition 1,"
Should we increase the sales and use tax for public safety and criminal justice in Leavenworth and Chelan County?,City of Leavenworth,Proposition,1,"<p>The City Council of the City of Leavenworth adopted Resolution 22-2013 concerning a sales and use tax increase pursuant to RCW 82.14.450. If approved, this proposition would authorize the City to impose an additional sales and use tax of 0.1% of the selling price or value of the article used, split between the City (85%) and Chelan County (15%) as required by state law. City proceeds shall be used for public safety and criminal justice purposes as allowed by RCW 82.14.450.</p> <p>Do you support or oppose this measure?</p>",,,http://www.cityofleavenworth.com/wp-content/uploads/2013/09/Prop-1-Flyer.pdf,,,,City of Leavenworth,ch_saletax,,,,,"Proposition 1,"
Should we authorize the City of Lynnwood to impose a regular property tax levy for the purpose of continuing to fund emergency medical care and services?,City of Lynnwood,Proposition,1,"For the purpose of continuing to fund emergency medical care and emergency medical and paramedic services, shall the City of Lynnwood be authorized to impose an additional regular property tax levy at the rate of $0.50 or less per One Thousand Dollars of assessed valuation within the City, for each of the years 2014 through 2023?",,,,,,,City of Lynnwood,sn_ems_tax,,,,,"Proposition 1,"
Should we authorize a special tax to to fund fire protection for the Town of Oakesdale in 2014?,City of Oakesdale,Proposition,1,"Shall the Town of Oakesdale levy a special tax of $14,000, an estimated $0.87 per $1,000 of 2013 assessed valuation for public safety to fund fire protection for the Town of Oakesdale for collection in 2014?",,,,,,,City of Oakesdale,wt_firetx1,,,,,"Proposition 1,"
"Should we authorize a special tax to fund street work, street lights, street expenses and maintenance for the Town of Oakesdale in 2014?",City of Oakesdale,Proposition,2,"Shall the Town of Oakesdale levy a special tax of $36,000, an estimated $2.22 per $1,000 of 2013 assessed valuation for street work, street lights, street expenses and maintenance for the Town of Oakesdale for collection in 2014?",,,,,,,City of Oakesdale,wt_roadtx1,,,,,"Proposition 2,"
Should we authorize the City of Omak to impose an increase in sales and use tax for use in criminal justice purposes or fire protection purposes or both?,City of Omak,Proposition,1,"Shall the City of Omak be allowed to impose an increase in sales and use tax in the amount of 0.1% as provided by the Public Safety Sales Tax law on the selling price in the case of sales tax, or the value of the article used in the case of use tax, and such revenue to be used by the City at least one-third (1/3) for criminal justice purposes or fire protection purposes, or both, as required by law to be effective as of April 1, 2014?",,,"www.omakcity.com/ESW/Files/June_17,_2013_Council_Agenda.pdf?",,,,City of Omak,ok_omaktax,,,,,"Proposition 1,"
Should we increase the retail tax to fund transportation improvements in the City of Othello?,City of Othello,Proposition,,<p>The City of Othello Transportation Benefit District Board adopted Resolution TBD 2013-02 concerning a sales and use tax to fund transportation improvements.  This proposition would authorize a sales and use tax of two-tenths of one percent (0.002) to be collected from all taxable retail sales and uses within the district in accordance with RCW 82.14.0455 for a term of ten (10) years for the purpose of paying the costs of transportation improvements identified in section 2 of the resolution.</p> <p>Do you support or oppose this measure?</p>,,,http://othellowa.gov/profile-economic-planning/12-sample-content/102-tbd-resolution.html,,,,City of Othello,ad_oth_tbd,,,,,"Proposition ,"
Should we authorize the City of Paulose to permanently increase the regular property tax levy to fund general city services and critical fire equipment needs?,City of Palouse,Proposition,1,"<p>The City Council of the City of Palouse adopted Resolution No. 2013-05 concerning property taxes to restore and enhance funding for its general city services and critical fire equipment needs. The City's regular property tax levy base shall be increased permanently by $0.61 per $1,000 of assessed value for collection beginning in 2014 and such amount shall be used for the purpose of computing the limitations for subsequent levies provided under RCW ch. 84.55.</p> <p>Do you support or oppose this measure?</p> ",,,,,,,City of Palouse,wt_firetx2,,,,,"Proposition 1,"
Should we authorize the City of Paulose to impose an excess property tax levy for the purpose of funding street improvements and street oiling?,City of Palouse,Proposition,2,"<p>For the purpose of funding street improvements and street oiling, the City Council of the City of Palouse proposes, pursuant to RCW 84.52.052, to impose an excess property tax levy upon all taxable property within the City in the amount of $44,000.00, an estimated $0.91 per $1,000.00, of assessed value in the year 2013 for collection in 2014, as provided in Resolution 2013-06.</p> <p>Do you support or oppose this measure?</p>  ",,,,,,,City of Palouse,wt_roadtx4,,,,,"Proposition 2,"
Should we authorize the City of Paulose to impose an excess property tax levy for the purpose of funding the operation and maintenance of the swimming pool?,City of Palouse,Proposition,3,"<p>For the purpose of funding the operation and maintenance of the swimming pool, the City Council of the City of Palouse proposes, pursuant to RCW 84.52.052, to impose an excess property tax levy upon all taxable property within the City in the amount of $28,000.00, an estimated $0.58 per $1,000.00, of assessed value in the year 2013 for collection in 2014, as provided in Resolution 2013-07.</p> <p>Do you support or oppose this measure?</p> ",,,,,,,City of Palouse,wt_swimtx1,,,,,"Proposition 3,"
Should the City of Pasco adopt the Mayor-Council plan of government?,City of Pasco,Proposition,2,"<p>A citizens' petition was filed with the Franklin County Auditor for placement on the ballot, concerning a change in the form of government for the City. The petition proposes that Pasco abandon its existing Council-Manager plan of government, whereby the City is governed by the elected City Council, with daily operations supervised by a professional City Manager who is appointed and removed by the City Council, and adopt a Mayor-Council plan of government, whereby daily operations are supervised by a citizen, elected as Mayor by the voters for four-year terms and possessing veto power over Council actions.</p><p>Do you support or oppose this measure?</p>","This proposition is in response to a petition seeking to change the form of Pasco City government. If approved, this proposition requires the City to abandon the plan of government under which it has operated since 1964, the Council-Manager plan of government, whereby the City is governed by the elected City Council, with daily operations managed by a professional City Manager, appointed and removed by the City Council, and adopt a MayorCouncil plan of government, whereby daily operations are managed by a citizen, elected as Mayor by the voters for four-year terms, and possessing veto power over Council actions.",,https://wei.sos.wa.gov/county/franklin/en/Elections/Documents/Ed%2010%20-%20Franklin_Eng.pdf,,,,City of Pasco,fr_psc_gov,,,,,"Proposition 2,"
Should the size of the City of Pasco be reduced?,City of Pasco,Proposition,1,"<p>A citizens' petition was filed with the Franklin County Auditor for placement on the ballot, concerning the reduction of the size of the City of Pasco. The petition describes two areas which are sought for removal from the city limits. First is an area of about 41 acres and 41 in population, in the vicinity of Road 76 and Court Street, annexed to Pasco in 2009. Second is an area of about 608 acres and 1,450 population, generally lying between Road 52 and Road 68, south of the FCID canal and north of Sylvester Street, annexed to Pasco in 2012.</p><p>Do you support or oppose this measure?</p>","This proposition is in response to a petition seeking reduction of the City with the removal of two areas from the Pasco City limits. If approved, approximately 649 acres plus approximately 1491 population, currently in the City, would be removed. One area is about 41 acres with a population of approximately 41, in the vicinity of Road 76 and Court Street, annexed to Pasco in 2009. Another is about 608 acres and 1450 population, generally lying between Road 52 and Road 68, south of the FCID canal and north of Sylvester Street, annexed to Pasco in 2012.",,https://wei.sos.wa.gov/county/franklin/en/Elections/Documents/Ed%2010%20-%20Franklin_Eng.pdf,,,,City of Pasco,fr_pscsize,,,,,"Proposition 1,"
Should the City of Port Orchard change to a noncharter code city and adopt the council-manager plan of government?,City of Port Orchard,Proposition,,Shall the City of Port Orchard change the classification of the City from a second class city to a noncharter code city operating under Chapter 35A.02 RCW and adopt the council-manager plan of government and abandon the council-mayor plan of government?,,,,,,,City of Port Orchard,kp_po_city,,,,,"Proposition ,"
Should we authorize the Rockford Town Council to replace an expiring levy to be used to provide adequate services in 2014?,City of Rockford,Proposition,1,"<p>The Rockford Town Council enacted Resolution 13-02R concerning a proposition to finance 2014 fire protection services. This proposition would authorize the Town of Rockford to levy an excess property tax in 2014 on all taxable property within the Town of Rockford at an approximate rate of $.51 per $1,000 of assessed value to raise $12,500 to be used to provide adequate services in 2014. This levy replaces an expiring levy, which the Town has collected in past years.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/spokane/erchives/Documents/Sample%20Ballots/2013%20Sample%20Ballot/Sample%20Ballotg113.pdf,,,,City of Rockford,sp_rkfdtax,,,,,"Proposition 1,"
Should we authorize a sales and use tax to fund the City of Roy's criminal justice and public safety programs? ,City of Roy,Proposition,1,"<p>Sales and Use Tax for Criminal Justice and Public Safety The City Council of the City of Roy adopted Resolution No. 733 concerning a proposition to fund criminal justice and public safety. If approved, Proposition No. 1 would authorize the City to impose an additional sales and use tax of one-tenth of one percent (.1%) to fund the City's criminal justice and public safety programs, including safe streets, split between the City (85%) and Pierce County (15%).</p> <p>Do you support or oppose this measure?</p>",,,http://cityofroywa.us/uploads/NOVEMBER_BALLOT_ISSUE.pdf,,,,City of Roy,pi_roy_tax,,,,,"Proposition 1,"
Should we increase minimum wage to $15.00 per hour for certain hospitality workers in the City of SeaTac? ,City of SeaTac,Proposition,1,"Proposition No. 1 concerns labor standards for certain employers. This Ordinance requires certain hospitality and transportation employers to pay specified employees a $15.00 hourly minimum wage, adjusted annually for inflation, and pay sick and safe time of 1 hour per 40 hours worked. Tips shall be retained by workers who performed the services. Employers must offer additional hours to existing part-time employees before hiring from the outside. SeaTac must establish auditing procedures to monitor and ensure compliance. Other labor standards are established. Should this Ordinance be enacted into law?   Yes No ",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47908&eid=1258,,,,City of SeaTac,Seatacprp1,,,,,"Proposition 1,"
Should we create districts to elect seven of nine Seattle City Councilmembers?,City of Seattle,Charter Amendment,19,"City of Seattle Proposed Charter Amendment No. 19 concerns creating districts to elect seven of nine Seattle City Councilmembers.  This measure would require the election of seven City Councilmembers by district and two from the City at-large. Residency must be established 120 days before candidate filing. Every decade a commission would re-draw districts to bring the smallest district's population within one percent of the largest. Councilmembers elected in 2013 and at-large councilmembers elected in 2015 serve 2-year terms. Thereafter, all councilmembers serve 4-year terms with district positions running together and at-large positions two years later.  Should this measure be enacted into law?  Yes No ",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47892&eid=1258,,,,City of Seattle,Seattle_19,,,,,"Charter Amendment 19,"
Should we create a system of publically financed council election campaigns in the City of Seattle?,City of Seattle,Proposition,1,"The City of Seattle's Proposition No. 1 concerns creation of a system of publically financed council election campaigns. If approved, this proposition would publically fund campaigns for Seattle City Council. Candidates who raise 600 individual contributions of at least $10 qualify for the program. Contributions up to $50 to qualifying candidates are matched 6 public dollars for every dollar, up to $210,000. Participating candidates may only spend $140,000 in the primary and $245,000 overall, except when an opponent spends more. Approval authorizes six years of additional property taxes, with $2,000,000 (approximately $0.0164/$1000 assessed value) collected in 2014.     Should this proposition be approved?   Yes No",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47893&eid=1258,,,,City of Seattle,Seattle_01,,,,,"Proposition 1,"
Should we authorize the Spangle Town Council to levy an excess property tax to used to provide adequate fire protection services in 2014?,City of Spangle,Proposition,1,"<p>The Spangle Town Council enacted ordinance No. 405 concerning a proposition to finance the 2014 fire protection services. This proposition would authorize the Town to levy an excess property tax on all taxable property within the Town of Spangle in an approximate rate of $1.50 per $1,000 of 2013 assessed value to raise $23,000 to be collected and used to provide adequate fire protection services in 2014.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/spokane/erchives/Documents/Sample%20Ballots/2013%20Sample%20Ballot/Sample%20Ballotg113.pdf,,,,City of Spangle,sp_spng_po,,,,,"Proposition 1,"
Should we authorize the Spangle Town Council to levy an excess property tax to be used to provide adequate police protection services in 2014?,City of Spangle,Proposition,2,"<p>The Spangle Town Council enacted ordinance No. 406 concerning a proposition to finance the 2014 police protection services. This proposition would authorize the Town to levy an excess property tax on all taxable property within the Town of Spangle in an approximate rate of $1.00 per $1,000 of 2013 assessed value to raise $16,000 to be collected and used to provide adequate police protection services in 2014.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/spokane/erchives/Documents/Sample%20Ballots/2013%20Sample%20Ballot/Sample%20Ballotg113.pdf,,,,City of Spangle,sp_spng_fi,,,,,"Proposition 2,"
Should we authorize a special tax levy  for street improvements and maintenance for the Town of St. John?,City of St. John,Proposition,1,"Shall a special tax levy of $65,000.00, an estimated $2.27 or less per one thousand dollars of assessed valuation, be collected in 2014, for street improvements and maintenance for the Town of St. John be authorized and approved?",,,,,,,City of St. John,wt_roadtx2,,,,,"Proposition 1,"
Should we authorize a special tax levy for water and sewer upgrade and capital improvements for the Town of St. John?,City of St. John,Proposition,2,"Shall a special tax levy of $75,000.00, an estimated $2.62 or less per one thousand dollars of assessed valuation, be collected in 2014, for water and sewer upgrade and capital improvements for the Town of St. John be authorized and approved?",,,,,,,City of St. John,wt_wtrtax2,,,,,"Proposition 2,"
"Should we authorize the City of Tacoma to levy a tax on natural gas, electric, and phone companies to fund basic maintenance and safety upgrades City-wide?",City of Tacoma,Proposition,1,"<p>The City Council of the City of Tacoma adopted Substitute Resolution No. 38700 concerning an additional 2% earnings tax on utility companies for streets. If passed, Proposition No. 1 would authorize the City to levy an additional 2% earnings tax on natural gas, electric, and phone companies for the sole purpose of funding basic maintenance and safety upgrades City-wide, for roads, arterials, and bridges; permanent pothole repairs; pedestrian safety improvement to crosswalks near schools, sidewalks and intersections; repaving neighborhood streets; and improved signal timing, all as provided in Substitute Resolution No. 38700.</p> <p>Should this be enacted into law?</p>",,,http://www.cityoftacoma.org/cms/one.aspx?objectId=34874,,,,City of Tacoma,pi_biz_tax,,,,,"Proposition 1,"
Should we authorize the City of Tekoa to levy a special tax for operation and maintenance in the Street Department?,City of Tekoa,Proposition,1,"Shall the City of Tekoa levy a special tax in the amount of $50,000.00.  An estimated $2.06 per one thousand dollars of assessed  valuation, for collection in 2014, for operation and maintenance in the Street Department?",,,,,,,City of Tekoa,wt_roadtx5,,,,,"Proposition 1,"
Should the City of Toledo be annexed to the Timberland Regional Library?,City of Toledo,Proposition,,Shall the City of Toledo be annexed to and be a part of the Timberland Regional Library?,,,,,,,City of Toledo,le_annexed,,,,,"Proposition ,"
Should we authorize the City of Tonasket to impose an increase in sales and use tax for use in criminal justice purposes or fire protection purposes or both?,City of Tonasket,Proposition,1,"Shall the City of Tonasket be allowed to impose an increase in sales and use tax in the amount of 0.1% on the selling price in the case of sales tax, or the value of the article used in the case of use tax, and such revenue to be used by the City at least one-third (1/3) for criminal justice purposes or fire protection purposes, or both, to be effective as of April 1, 2014?",,,,,,,City of Tonasket,ok_tskttax,,,,,"Proposition 1,"
Should the City of Washougal adopt the City/Manager form of government?,City of Washougal,Proposition,1,Shall the City of Washougal adopt the Council/Manager form of government and abandon the Council/Mayor form of government? The adoption of the Council/Manager form of government would not affect the City's eligibility to be governed under Title 35A of the Revised Code of Washington.,"The City of Washougal is currently a non-chartered code city doing business under the Mayor-Council form of government as provided in RCW 35A.12. An elected mayor is the chief administrative officer of the city. Approval of the ballot measure would require a change to the Council-Manager form of government as provided by RCW 35A.13. The elected council would select a professional manager to be the chief administrative officer of the city. A mayor will be selected from among the council to be the ""chairperson"" of the council and be the head of the city for ceremonial purposes",,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,City of Washougal,cr_wsh_gov,,,,,"Proposition 1,"
Should we would authorize the Town of Wilkeson to increase the regular tax levy to provide funding for emergency medical services?,City of Wilkeson,Proposition,1,"<p>The Town of Wilkeson adopted Ordinance No. 2013.04 concerning a proposition to increase the Town's current EMS Levy. If passed Proposition 1 would authorize the Town to impose an increase of the regular tax levy from $0.25 per $1,000.00 assessed valuation to $0.50 per $1,000.00 assessed valuation for the remaining four years of the six consecutive year levy that began in 2012 to provide funding for emergency medical services.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.pierce.wa.us/DocumentCenter/View/25738,,,,City of Wilkeson,pi_ems_tax,,,,,"Proposition 1,"
Should we authorize the Town of Wilkeson to levy regular property taxes to finance fire maintenance and operations?,City of Wilkeson,Proposition,2,"<p>The Town of Wilkeson adopted Ordinance No. 2013.05, a proposition to finance fire maintenance and operation. If approved this proposition would authorize the Town to levy regular property taxes at a rate of $3.10 per $1,000.00 of assessed valuation for 2014 collection. The 2014 levy amount will be used to collect the levy limits under Chapter 84.55 RCW for future levies. The amount of increase would be $1.50 per $1,000.00 assessed value.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.pierce.wa.us/DocumentCenter/View/25739,,,,City of Wilkeson,pi_firetax,,,,,"Proposition 2,"
Should we amend the City of Yakima Charter regarding the voting procedure on any levy or increase any councilmanic tax?,City of Yakima,Proposition,1,"Adoption of amendment to the Charter of the City of Yakima to require an affirmative vote  of at least five council members to assess,  levy or increase any councilmanic tax.
Proposition No. 1 concerns an amendment of Article VII, Section 2, of the City of Yakima Charter. The proposed amendment states that, after January 1, 2014, any councilmanic tax may be assessed, levied or increased only by a minimum affirmative vote of five members of the City Council. Should this proposition be approved?
",,,http://www.yakimacounty.us/vote/sampleBallot11052013.pdf,,,,City of Yakima,yakimachrt,,,,,"Proposition 1,"
"Should we authorize the City of Yelm to issue general obligation bonds to pay the costs of constructing a community center, supporting facilities, and other park improvements?",City of Yelm,Proposition,1,"<p>The City Council of the City of Yelm has passed Ordinance No. 975 concerning financing the expansion of and improvements to Yelm City Park. If approved, this proposition would authorize issuance of general obligation bonds in an amount not more than $5,742,000 (maturing within 25 years or less) to pay costs of constructing a community center and supporting facilities and carrying out other park improvements, and authorize the annual levy of excess property taxes to pay and retire such bonds, all as provided in Ordinance No. 975.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.thurston.wa.us/auditor/Elections/2013elections/November/vp/vp_main.htm,,,,City of Yelm,th_ylmpark,,,,,"Proposition 1,"
