Source,ID,name,jurisdiction,type,number,title,description,URL,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105265,EMS Levy,Town of Albion,Proposition,5,Town of Albion,"Shall the Town of Albion levy a special tax levy of $1,000, an estimated $0.50 per one thousand dollars of assessed valuation for six consecutive years beginning in 2012 for Emergency Medical Services?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105245,Levy Lid Lift,Town of Waterville,Proposition,5,Permanent Regular Levy Lid Lift,"Permanent Regular Levy Lid Lift  The Waterville Town Council adopted Resolution No. 2011-05 containing a  Proposition that would authorize regular property taxes at the maximum rate of $2.80 per $1,000 of assessed valuation for the year 2012. This is a  permanent levy lid lift. For a minimum period of six (6) years, $.50 per  $1,000 of the levy increase shall be dedicated to continuing maintenance and  operation of the Town's swimming pool. Should this proposition be  approved?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105269,Street/Water Levy,Town of Colton,Proposition,6,Town of Colton,"Shall the Town of Colton be authorized to levy additional taxes by an excess levy for collection in 2012 of approximately $1.20 per $1,000.00 of assessed value, to raise the $30,000.00 for General Operations, Improvements of the Town Streets and Water System?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105273,Street Levy,Town of Endicott,Proposition,7,Town of Endicott,"Shall the Town of Endicott be authorized to impose a special tax levy in 2011for collection in 2012 of $20,000 for Street Work and Maintenance?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105277,City Park Levy,Town of Endicott,Proposition,8,Town of Endicott,"Shall the Town of Endicott be authorized to impose a special tax levy in 2011 for collection in 2012 of $7,000.00 for City Park Maintenance?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105281,Street Levy,Town of Farmington ,Proposition,9,Town of Farmington,"Shall the Town of Farmington levy a special tax of $12,000, an estimated $2.24, per $1,000.00 dollars of the 2011 assessed valuation, for City Street Maintenance Fund, for collection in 2012, be approved?",,,,,,,
kitsap.doc,101,Veterans Svcs.,Kitsap County,Proposition,1,Veterans and Human Services Levy,"The Kitsap County Board of Commissioners approved Resolution Nos. 123-2011 and 124-2011 concerning funding for veterans, health and human services.  This proposition would fund capital facilities and services that reduce medical costs, homelessness and criminal justice system involvement, with half of the proceeds supporting veterans, military personnel and their families, and the other half supporting other families in need.  It would authorize Kitsap County to increase its projected regular property tax levy rate of $1.10 by up to 5 cents per $1,000 of assessed valuation, to $1.15, for collection in 2012, with levy increases in each of the following five years limited as provided by chapter 84.55 RCW. ",,,,,,,
kitsap.doc,102,Council Size Red.,City of Bremerton,Proposition,1,Proposed Charter Amendment to Reduce the Size of City Council,"The Bremerton City Council adopted Resolution No. 3139, approving a proposition to be sent to the voters to amend the Bremerton City Charter reducing the size of the City Council.\n\nIf approved, this proposition amends the City Charter reducing the number of Council members and Council districts from nine to seven, and makes other related changes.  Council members elected in 2011 to represent current Council districts will serve two year terms.  In 2013, the seven new Council districts, as redistricted, will elect new Council members.  These Council members will initially serve staggered terms beginning in 2014.  Thereafter, all Council members shall serve four year terms.",,,,,,,
kitsap.doc,103,Port Formation,Kitsap County,Proposition,1,Formation of Port of Bainbridge Island,"The Kitsap County Board of Commissioners adopted Resolution No. 110-2011 concerning formation of the Port of Bainbridge Island.  If approved, this proposition would form the Port of Bainbridge Island, with boundaries coextensive with those of the City of Bainbridge Island and governed by a five-member Port Commission with members elected at large.  Should the Port of Bainbridge Island be formed? (Pursuant to RCW 53.04.023 & BOCC Res. No. 110-2011)",,,,,,,
kitsap.doc,104,Port Enlargement,Port of Tracyton,Proposition,1,Enlargement of Port of Tracyton,This proposition concerns the enlargement of the Port of Tracyton.  The proposition would authorize the Port of Tracyton to enlarge its existing geographical boundaries by annexing to the Port the territory legally described in Port of Tracyton Resolution No. 2011-01. Should this proposition be enacted into law? (Pursuant to RCW 53.04.080 and Port District Resolution No. 2011-01),,,,,,,
yakima-ems.doc,201,EMS Levy,Yakima County,Proposition,2,EMS Levy Authorization,"The Board of Yakima County Commissioners adopted Resolution No. 317-2011 concerning a proposition to finance emergency medical care and emergency medical services.  This proposition would authorize Yakima County to continue to impose regular property tax levies of twenty-five cents per thousand dollars of assessed valuation (.25/$1,000.00) or less, for the ten consecutive years beginning January 1, 2014, the proceeds to be used to provide emergency medical care or emergency medical services according to RCW 84.52.069.  Should this proposition be approved?",,,,,,,
yakima-home-rule.doc,202,Home Rule Charter,Yakima County,Proposition,1,Yakima County Home Rule,"Proposition No. 1 concerns a proposal to frame a home rule charter for Yakima County. If approved, a board of fifteen (15) freeholders would be elected for the purpose of drafting a home rule charter for submission to the voters of Yakima County to adopt or reject pursuant to Article XI, Section 4, of the Washington State Constitution. Should this proposition be approved?",,,,,,,
yakima-naches-park.doc,203,Parks Levy,Town of Naches,Proposition,1,Naches Park & Recreation District Special Levy,"The Commissioners of the Naches Park and Recreation District adopted Resolution 2011-09 concerning a proposition to finance the general operating and equipment expenses of the District.  This proposition would authorize the district to levy $95,000 in excess property taxes (approximately $.58 per $1,000 of assessed valuation) to be collected in 2012 and again in 2013 to meet general operating and equipment expenses.  Should this proposition be approved?",,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,301,Criminal Justice Levy,City of Carnation,Proposition,1,Levy for Criminal Justice Services and Cash Reserve Stabilization,"The Carnation City Council has passed Resolution No. 366, placing funding for criminal justice services and stabilization of the City’s monetary reserves before the voters.\n\nThis six-year proposition would increase the regular property tax rate for collection in 2012 by $0.61 to $1.90 per $1,000 of assessed valuation.  The 2012 levy amount would become the base upon which levy increases would be computed for each of the five succeeding years.  The revenue would be used to fund criminal justice services, including police, jail, prosecution, courts, public defender, and domestic violence advocacy, and to help stabilize the City’s monetary reserves.",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40321&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,302,"Historic Bldgs, Streets",City of Des Moines,Proposition,1,Utility Occupation Tax for Des Moines Beach Park and Streets,The Des Moines City Council adopted Resolution No. 1169 concerning a proposition to increase the City Utility Occupation Tax to restore Beach Park Historic District buildings and facilities;  fund maintenance and operations;  and for City street paving improvements.  This proposition would restore Des Moines Beach Park Historic Buildings and facilities; fund maintenance and operations; and improve City streets to prevent their further deterioration.  This proposition increases the current 6% utility occupation tax to 9% authorizing:  (1) 1% for Beach Park capital projects for 20 years or until capital bonds are repaid and thereafter that 1% tax ends; (2) 0.5% for Beach Park maintenance and operations; and (3) 1.5% for City street paving improvements.,http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40322&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,303,Street Levy,City of Pacific,Proposition,1,Levy Lid Lift for Street Improvements,"The City Council of the City of Pacific, adopted Resolution No. 1076 concerning a property tax levy increase for street improvements.  If approved, this proposition would (1) increase the regular property tax levy above the increase allowed under Ch. 84.55 RCW, to a total rate of $1.66396/$1,000 assessed value for collection in 2012;  (2) increase the 2013-2017 maximum permitted levy amounts by inflation (measured by CPI); and (3) dedicate the increase to purchasing street repair and improvement materials.  This measure expires after 2017. ",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40323&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,304,Mayor/Council?,City of SeaTac,Proposition,1,hange in Plan of Governmen,Shall the City of SeaTac abandon its present Council-Manager plan of government under which it currently operates under RCW 35A.13 and adopt in its place the Mayor-Council plan of government under the provisions of RCW 35A.12?,http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40324&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,305,Families & Educ.,City of Seattle,Proposition,1,Regular Tax Levy Including Families and Education,"The City of Seattle’s Proposition concerns renewing and enhancing Education-Support Services to improve academic achievement.\n\nThis proposition would fund City services, including school readiness, academic achievement in elementary, middle and high school, college/career preparation, and student health and community partnerships as provided in Ordinance 123567. It authorizes regular property taxes above RCW 84.55 limits, allowing additional 2012 collection of up to $32,101,000 (approximately $0.27/$1000 assessed value) and up to $231,562,000 over seven years. In 2012, total City taxes collected would not exceed $3.60 per $1,000 of assessed value.",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40325&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,306,Card Rooms,City of Tukwila,Advisory Measure,1,Licensed Card Rooms in the City of Tukwila,Tukwila Resolution No. 1745 submits the following question to the voters of the City of Tukwila regarding social card rooms in the City:\n\nShould gambling in the form of social card rooms be allowed in Tukwila?,http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40326&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,307,Transportation Improvements,City of North Bend,Proposition,1,Sales and Use Tax for Transportation Improvements,"he Board of North Bend Transportation Benefit District No. 1 has adopted Resolution No. 01-2011 concerning a proposition to finance transportation improvements.  This proposition would authorize a sales and use tax at a rate of two-tenths of one percent (.2%) of the selling price in the case of a sales tax, or value of article used in the case of a use tax, for a period not exceeding 10 years, and dedicate that tax to repaying North Bend Transportation Benefit District No. 1 indebtedness incurred to finance street and related improvements specified in Resolution No. 01-2011.  Should this proposition be approved? ",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40327&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,308,Transportation Improvements,City of Seattle,Proposition,1,Increased Vehicle License Fee,"The Seattle Transportation Benefit District’s Proposition No. 1 concerns an increased Vehicle License Fee for transportation improvements.  If approved, this proposition would fund transportation facilities and services benefitting the City of Seattle, including: transportation system repairs, maintenance and safety improvements; transit improvements to increase speed, reliability and access; and pedestrian, bicycle and freight mobility programs, all as provided in STBD Resolution No. 5.  It would authorize a $60 increase in the Vehicle License Fee beginning in 2012, allowing collection of approximately $20.4 million annually for ten years.  Should this proposition be approved?",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40328&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,308,School Levy,City of Shoreline,Proposition,1,Supplemental Levy to Support Class Size,"The Board of Directors of Shoreline School District No. 412 adopted Resolution No. 2011-14, concerning a supplemental levy to support class size.  This proposition would address impacts on class size due to State budget reductions by levying the following excess taxes, in addition to the existing levies for educational programs, maintenance and operations approved by the voters in February, 2010, on all taxable property within the District.\n\nPassage of Proposition No. 1 would allow the levy of $1,300,000 of property taxes within the Shoreline School District for collection in 2012, the levy of $1,400,000 of taxes for collection in 2013, and the levy of $1,500,000 in taxes for 2014. The purpose of the levy is to support class size in response to State budget reductions.  This supplemental levy is in addition to the maintenance and operation levy, approved by the voters in the February 2010 election, on all taxable property within the District.  The taxes approved by this proposition would be deposited in the Shoreline School District’s General Fund and expended to support class size.  If authorized by the voters and based upon current assessed valuation information, the estimated levy rates per $1000 of assessed value would be $0.09 (2012 collection); $0.09 (2013 collection) and $0.10 (2014 collection).",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40329&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,310,Fire Dist Commission,City of Enumclaw,Proposition,1,Increasing Number of Commissioners,Shall the board of commissioners of King County Fire Protection District No. 28 be increased from three members to five members?,http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40330&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,311,Park Levy Allocation,Si View Metropolitan Park District,Proposition,1,Protection of Current Tax Levy from Prorationing,"The Board of Directors of the Si View Metropolitan Park District adopted Resolution No. 2011-02 concerning protecting a portion of the existing property tax levy from being reallocated to other taxing districts, a process known as prorationing.  To maintain current operations, park district facilities and programs, including the Si View Community Center and Pool, parks, playfields, playgrounds, trails, adult programming, fitness and youth sports programs, summer camps, and after-school recreation programs for youth and teens, shall $0.25/$1,000 of assessed valuation of the District’s current regular property tax levy be protected from prorationing under RCW 84.52.010(3)(b) for the tax years 2012 through 2017?",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40331&eid=1249,,,,,,
http://www.kingcounty.gov/elections/elections/201111/measures.aspx,312,Parks Levy,Si View Metropolitan Park District,Proposition,2,One-Year Operations and Maintenance Levy,"The Board of Directors of the Si View Metropolitan Park District adopted Resolution No. 2011-03 concerning a proposition for basic safety, maintenance and operations.  This proposition would maintain current operations, facilities and programs, including the Si View Community Center and Pool, parks, playfields, playgrounds, sports programs, trails, adult programming, summer camps, and after-school recreation programs for youth and teens, by authorizing the District to levy a one-year excess property tax levy on all taxable property within the District at an approximate rate of $0.21/$1,000 of assessed value to provide $462,000, to be collected in 2012.",http://your.kingcounty.gov/elections/contests/measureinfo.aspx?cid=40332&eid=1249,,,,,,
